iter	Passed	Remaining
0	1231	1230710
1	2422	1208969
2	3061	1017384
3	4091	1018898
4	5000	995156
5	5952	986090
6	6846	971230
7	7772	963803
8	8776	966398
9	9776	967852
10	10904	980409
11	11940	983130
12	13220	1003759
13	14599	1028207
14	16308	1070897
15	18770	1154391
16	23378	1351818
17	26952	1470394
18	31178	1609804
19	33479	1640479
20	35293	1645332
21	36995	1644628
22	38552	1637641
23	40005	1626892
24	41010	1599397
25	42080	1576393
26	42982	1548953
27	43980	1526753
28	44903	1503496
29	45880	1483467
30	46789	1462562
31	47674	1442147
32	48621	1424759
33	49490	1406103
34	50430	1390440
35	51353	1375142
36	52090	1355763
37	53032	1342557
38	54616	1345813
39	57223	1373365
40	63019	1474052
41	70330	1604214
42	72237	1607713
43	73950	1606733
44	75128	1594394
45	76326	1582945
46	77420	1569815
47	78407	1555074
48	79565	1544224
49	80503	1529568
50	81563	1517727
51	82572	1505359
52	83556	1492986
53	84423	1478975
54	85427	1467795
55	86298	1454744
56	87297	1444236
57	88198	1432471
58	89113	1421281
59	90131	1412057
60	91096	1402295
61	92048	1392601
62	93058	1384061
63	94447	1381291
64	96121	1382676
65	100600	1423650
66	107633	1498841
67	112639	1543826
68	115032	1552098
69	116958	1553879
70	118639	1552341
71	120031	1547072
72	121298	1540326
73	122363	1531191
74	123459	1522671
75	124435	1512877
76	125386	1503009
77	126409	1494220
78	127419	1485484
79	128303	1475494
80	129245	1466376
81	130136	1456889
82	131089	1448297
83	132095	1440467
84	133068	1432440
85	133935	1423455
86	135502	1421993
87	137008	1419907
88	138385	1416503
89	139701	1412532
90	140990	1408354
91	142087	1402341
92	143238	1396963
93	144168	1389536
94	145131	1382567
95	146093	1375712
96	147002	1368487
97	148149	1363576
98	149060	1356599
99	149899	1349095
100	150771	1342014
101	151585	1334547
102	152472	1327844
103	153393	1321544
104	154494	1316879
105	155382	1310488
106	156250	1304032
107	157160	1298032
108	158077	1292176
109	159093	1287214
110	160255	1283487
111	161263	1278590
112	162200	1273205
113	163291	1269091
114	164464	1265664
115	165571	1261768
116	166639	1257630
117	167603	1252767
118	168510	1247541
119	169589	1243653
120	170634	1239564
121	171446	1233854
122	172316	1228633
123	173156	1223263
124	174040	1218283
125	174911	1213275
126	175758	1208168
127	176645	1203398
128	177715	1199924
129	178790	1196521
130	179668	1191849
131	180671	1188051
132	181517	1183276
133	182446	1179093
134	183414	1175211
135	184376	1171330
136	185403	1167907
137	186539	1165195
138	187544	1161697
139	188564	1158325
140	189662	1155461
141	190738	1152492
142	191768	1149267
143	192701	1145502
144	193632	1141765
145	194498	1137681
